hotel,is_canceled,lead_time,stays_in_week_nights,adults,children,babies,meal,deposit_type,agent,company
Resort Hotel,0,102,5,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,4,1,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,98,1,2,0,0,BB,No Deposit,8,NULL
Resort Hotel,0,92,4,1,2,0,BB,No Deposit,241,NULL
Resort Hotel,0,95,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,102,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,26,5,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,1,73,5,3,0,0,HB,No Deposit,250,NULL
Resort Hotel,1,102,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,115,5,2,0,0,BB,No Deposit,134,NULL
Resort Hotel,0,102,5,2,0,1,BB,No Deposit,240,NULL
Resort Hotel,0,86,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,78,5,2,0,1,HB,No Deposit,240,NULL
Resort Hotel,0,52,5,2,0,0,BB,No Deposit,147,NULL
Resort Hotel,0,29,6,3,0,0,BB,No Deposit,241,NULL
Resort Hotel,1,101,6,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,109,6,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,92,6,2,0,0,BB,No Deposit,40,NULL
Resort Hotel,0,92,6,2,0,0,BB,No Deposit,40,NULL
Resort Hotel,0,79,6,2,1,0,HB,No Deposit,250,NULL
Resort Hotel,0,2,1,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,0,30,1,2,0,0,BB,No Deposit,8,NULL
Resort Hotel,1,51,1,1,0,0,HB,No Deposit,240,NULL
Resort Hotel,1,36,1,1,0,0,BB,No Deposit,250,NULL
Resort Hotel,1,73,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,33,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,32,1,4,0,0,FB,No Deposit,NULL,NULL
Resort Hotel,0,8,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,100,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,1,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,100,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,100,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,9,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,5,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,0,2,0,0,BB,No Deposit,306,NULL
Resort Hotel,0,9,0,1,0,0,BB,No Deposit,184,NULL
Resort Hotel,0,2,0,1,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,2,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,9,0,1,0,0,BB,No Deposit,184,NULL
Resort Hotel,1,5,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,2,0,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,44,0,3,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,80,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,97,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,109,3,2,1,0,BB,No Deposit,241,NULL
Resort Hotel,0,30,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,64,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,39,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,90,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,34,4,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,1,93,5,2,0,0,HB,No Deposit,15,NULL
Resort Hotel,0,97,5,2,2,0,HB,No Deposit,250,NULL
Resort Hotel,0,29,5,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,1,101,5,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,27,5,2,0,0,BB,No Deposit,175,NULL
Resort Hotel,0,8,5,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,0,82,6,2,0,0,BB,No Deposit,5,NULL
Resort Hotel,0,94,6,3,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,110,7,2,0,0,BB,No Deposit,40,NULL
Resort Hotel,0,96,10,1,0,0,HB,No Deposit,40,NULL
Resort Hotel,0,79,10,2,0,0,HB,No Deposit,243,NULL
Resort Hotel,0,115,4,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,0,111,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,51,3,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,94,3,3,0,0,BB,No Deposit,96,NULL
Resort Hotel,0,81,3,2,2,0,HB,No Deposit,250,NULL
Resort Hotel,0,84,3,2,0,1,BB,No Deposit,240,NULL
Resort Hotel,0,51,3,3,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,111,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,0,1,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,2,0,2,1,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,7,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,98,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,95,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,48,3,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,66,3,2,0,0,HB,No Deposit,175,NULL
Resort Hotel,0,104,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,28,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,34,4,2,0,0,HB,No Deposit,250,NULL
Resort Hotel,0,98,5,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,104,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,68,5,2,2,0,HB,No Deposit,240,NULL
Resort Hotel,1,86,5,1,0,0,HB,No Deposit,175,NULL
Resort Hotel,0,258,5,2,0,0,BB,No Deposit,2,NULL
Resort Hotel,0,111,5,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,1,94,7,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,112,7,2,0,0,BB,No Deposit,242,NULL
Resort Hotel,0,100,7,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,33,0,2,100,0,HB,No Deposit,250,NULL
Resort Hotel,0,97,7,2,0,0,HB,No Deposit,156,NULL
Resort Hotel,0,80,8,1,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,90,10,2,0,0,BB,No Deposit,8,NULL
Resort Hotel,0,111,10,2,0,0,BB,No Deposit,40,NULL
Resort Hotel,0,65,5,2,0,0,BB,No Deposit,127,NULL
Resort Hotel,1,67,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,55,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,21,3,2,1,0,HB,No Deposit,250,NULL
Resort Hotel,0,8,0,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,8,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,1,1,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,1,3,0,0,HB,No Deposit,NULL,NULL
Resort Hotel,0,0,1,1,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,8,4,3,2,0,BB,No Deposit,240,NULL
Resort Hotel,0,66,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,88,4,3,0,0,HB,No Deposit,95,NULL
Resort Hotel,0,0,4,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,1,43,5,2,0,0,HB,No Deposit,134,NULL
Resort Hotel,1,88,5,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,54,5,2,0,0,BB,No Deposit,8,NULL
Resort Hotel,1,292,5,2,0,0,BB,No Deposit,2,NULL
Resort Hotel,0,112,10,2,0,0,HB,No Deposit,156,NULL
Resort Hotel,0,68,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,7,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,1,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,113,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,5,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,83,4,2,0,0,BB,No Deposit,105,NULL
Resort Hotel,1,105,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,1,1,0,0,BB,No Deposit,146,NULL
Resort Hotel,1,1,1,2,0,0,BB,No Deposit,NULL,110
Resort Hotel,1,1,1,2,0,0,BB,No Deposit,NULL,110
Resort Hotel,0,1,2,2,0,0,BB,No Deposit,NULL,110
Resort Hotel,1,102,4,2,0,0,BB,No Deposit,9,NULL
Resort Hotel,0,113,4,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,1,280,5,2,1,0,HB,No Deposit,40,NULL
Resort Hotel,0,96,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,394,5,2,0,0,HB,No Deposit,40,NULL
Resort Hotel,0,33,5,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,82,6,3,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,100,7,3,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,100,7,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,17,1,2,2,0,BB,No Deposit,242,NULL
Resort Hotel,0,68,2,3,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,12,2,2,2,0,BB,No Deposit,NULL,NULL
Resort Hotel,1,77,3,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,1,24,3,2,2,0,BB,No Deposit,242,NULL
Resort Hotel,1,44,3,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,0,78,3,2,0,1,BB,No Deposit,240,NULL
Resort Hotel,1,17,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,103,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,16,3,1,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,14,3,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,77,3,2,0,0,BB,No Deposit,177,NULL
Resort Hotel,0,90,5,2,0,0,BB,No Deposit,6,NULL
Resort Hotel,0,90,5,2,0,0,BB,No Deposit,40,NULL
Resort Hotel,0,90,5,2,0,0,BB,No Deposit,143,NULL
Resort Hotel,0,366,5,2,0,0,HB,No Deposit,40,NULL
Resort Hotel,0,249,5,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,1,69,6,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,10,1,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,22,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,91,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,23,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,11,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,3,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,13,2,2,1,0,HB,No Deposit,240,NULL
Resort Hotel,0,108,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,91,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,37,2,2,0,0,BB,No Deposit,105,NULL
Resort Hotel,0,21,2,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,106,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,30,2,2,0,0,FB,No Deposit,NULL,NULL
Resort Hotel,0,30,2,2,0,0,FB,No Deposit,NULL,NULL
Resort Hotel,1,51,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,79,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,21,3,2,0,2,HB,No Deposit,250,NULL
Resort Hotel,0,35,3,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,0,78,5,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,31,5,2,0,0,HB,No Deposit,250,NULL
Resort Hotel,0,78,5,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,78,5,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,44,5,1,0,0,HB,No Deposit,244,NULL
Resort Hotel,0,34,5,2,1,0,HB,No Deposit,241,NULL
Resort Hotel,0,87,5,2,1,1,FB,No Deposit,5,NULL
Resort Hotel,0,11,6,3,1,0,BB,No Deposit,250,NULL
Resort Hotel,0,115,7,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,86,7,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,41,7,2,0,1,BB,No Deposit,241,NULL
Resort Hotel,0,32,9,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,34,5,2,1,0,HB,No Deposit,241,NULL
Resort Hotel,0,34,5,2,0,0,HB,No Deposit,241,NULL
Resort Hotel,1,100,3,2,1,0,HB,No Deposit,149,NULL
Resort Hotel,0,44,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,304,4,2,0,1,BB,No Deposit,240,NULL
Resort Hotel,1,36,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,117,4,3,0,0,HB,No Deposit,15,NULL
Resort Hotel,0,70,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,110,5,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,1,109,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,33,2,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,33,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,33,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,1,1,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,0,1,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,0,1,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,0,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,84,1,2,0,0,HB,No Deposit,NULL,113
Resort Hotel,0,71,1,2,0,0,BB,No Deposit,175,NULL
Resort Hotel,0,16,1,2,0,0,BB,No Deposit,242,NULL
Resort Hotel,0,54,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,8,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,36,5,2,0,0,BB,No Deposit,5,NULL
Resort Hotel,0,40,5,2,0,0,HB,No Deposit,242,NULL
Resort Hotel,1,59,6,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,79,6,2,2,0,HB,No Deposit,250,NULL
Resort Hotel,0,32,6,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,110,5,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,33,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,53,0,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,0,2,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,8,4,2,1,0,BB,No Deposit,240,NULL
Resort Hotel,1,72,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,12,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,48,5,2,0,0,BB,No Deposit,243,NULL
Resort Hotel,0,90,5,2,0,0,FB,No Deposit,5,NULL
Resort Hotel,0,34,5,2,0,1,HB,No Deposit,156,NULL
Resort Hotel,1,58,5,3,1,0,BB,No Deposit,250,NULL
Resort Hotel,0,59,5,2,0,0,BB,No Deposit,115,NULL
Resort Hotel,0,90,5,2,0,1,FB,No Deposit,5,NULL
Resort Hotel,0,116,5,2,0,0,BB,No Deposit,40,NULL
Resort Hotel,0,31,5,2,0,0,BB,No Deposit,243,NULL
Resort Hotel,1,51,5,2,0,0,HB,No Deposit,241,NULL
Resort Hotel,0,48,5,2,0,0,BB,No Deposit,243,NULL
Resort Hotel,0,59,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,97,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,12,5,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,64,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,31,7,2,0,0,BB,No Deposit,243,NULL
Resort Hotel,0,59,7,2,0,0,HB,No Deposit,243,NULL
Resort Hotel,1,55,10,2,10,0,BB,No Deposit,8,NULL
Resort Hotel,0,81,5,2,0,0,BB,No Deposit,147,NULL
Resort Hotel,0,1,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,34,0,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,0,13,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,40,0,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,1,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,34,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,88,1,2,0,0,BB,No Deposit,8,NULL
Resort Hotel,0,9,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,24,1,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,97,2,2,0,0,BB,No Deposit,6,NULL
Resort Hotel,0,60,2,2,0,1,BB,No Deposit,240,NULL
Resort Hotel,0,100,2,2,2,0,BB,No Deposit,250,NULL
Resort Hotel,0,50,3,2,0,0,BB,No Deposit,156,NULL
Resort Hotel,1,47,3,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,8,3,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,0,34,3,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,47,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,115,5,2,0,1,HB,No Deposit,134,NULL
Resort Hotel,1,79,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,91,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,98,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,109,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,98,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,1,4,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,9,1,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,62,1,2,0,0,BB,No Deposit,147,NULL
Resort Hotel,1,45,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,42,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,54,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,51,2,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,54,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,58,2,2,0,0,HB,No Deposit,250,NULL
Resort Hotel,0,0,3,1,0,0,BB,No Deposit,167,NULL
Resort Hotel,1,60,4,2,0,0,BB,No Deposit,15,NULL
Resort Hotel,1,321,4,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,40,4,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,1,51,4,2,0,0,BB,No Deposit,156,NULL
Resort Hotel,0,38,4,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,1,75,4,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,101,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,42,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,40,4,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,109,4,3,0,0,HB,No Deposit,NULL,NULL
Resort Hotel,1,81,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,98,5,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,32,5,1,0,0,HB,No Deposit,300,NULL
Resort Hotel,0,72,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,115,5,2,0,0,HB,No Deposit,134,NULL
Resort Hotel,0,118,5,2,0,0,FB,No Deposit,250,NULL
Resort Hotel,0,81,5,2,1,0,HB,No Deposit,250,NULL
Resort Hotel,1,95,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,16,0,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,56,3,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,88,5,2,0,0,BB,No Deposit,8,NULL
Resort Hotel,0,41,6,2,0,0,BB,No Deposit,147,NULL
Resort Hotel,1,40,1,2,0,0,BB,No Deposit,171,NULL
Resort Hotel,0,1,1,1,0,0,BB,No Deposit,NULL,270
Resort Hotel,0,1,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,1,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,76,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,49,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,76,5,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,73,5,2,0,0,HB,No Deposit,NULL,NULL
